,Subsistence [B004],Community marriage organisation,ID,Name in English,ISO639-3 codes,Degree of endangerment,Level of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
Adnyamathanha,,,164,Adnyamathanha,adt,Definitely endangered,2,,,100,-30.6,138.6035
AghuTharrnggala,,,,,,,,,,,,
Alngith,,,,,,,,,,,,
Alyawarr,Gathering,Agamous,165,Alawa,alh,Critically endangered,4,,,22,-16.4676,134.0771
Aminungo,,,,,,,,,,,,
Antekerrepenhe,,,,,,,,,,,,
Arabana,,,2071,Arabana,ard,Critically endangered,4,,,6,-28.6134,135.8349
Awabakal,,,,,,,,,,,,
Ayapathu,,,,,,,,,,,,
Badimaya,,,,,,,,,,,,
Balkurra,,,,,,,,,,,,
Bandjalang,,Endogamous,,,,Critically endangered,4,,,5,-28.617,153.004
Barna,,,,,,,,,,,,
BarrowPoint,,,,,,,,,,,,
Batyala,,,,,,,,,,,,
Belyando,,,,,,,,,,,,
BidyaraGungabula,,,,,,,,,,,,
Bilinarra,,,,,,,,,,,,
Bindal,,,,,,,,,,,,
Bindjali,,,,,,,,,,,,
Biri,,,,,,,,,,,,
Birrpayi,,,,,,,,,,,,
Bularnu,,,,,,,,,,,,
Bunganditj,,,,,,,,,,,,
CentralAnmatyerr,,,,,,,,,,,,
ChampionBay,,,,,,,,,,,,
Colac,,,,,,,,,,,,
Coobenpil,,,,,,,,,,,,
Coonambella,,,,,,,,,,,,
Dalla,,,,,,,,,,,,
Darkinyung,,,,,,,,,,,,
DawsonRiver,,,,,,,,,,,,
Dhangu,,,,,,,,,,,,
Dharawal,,,2074,Dharawal,tbh,Critically endangered,4,"Dharawaal, Thurawal, Turrubu",,4,-34.7235,150.5786
Dharawala,,,,,,,,,,,,
Dharuk,,,2073,Dharug,nil,Critically endangered,4,"Daruk, Dharuk",,0,-34.0344,150.9301
Dharumbal,,,,,,,,,,,,
Dhayyi,,,,,,,,,,,,
Dhudhuroa,,,,,,,,,,,,
Dhurga,,,2075,Dhurga,dhu,Critically endangered,4," Dhu'rga, Durga, Thoorga, Tharumba",,0,-35.4964,150.249
Dhuwal,,Agamous,,,,,,,,,,
Dhuwala,,,,,,,,,,,,
Diyari,,Agamous,,,,Critically endangered,,,,12,-28.58,139.09
Djabugay,,,,,,,,,,,,
Djambarrpuyngu,,,,,,,,,,,,
Djapu,,,,,,,,,,,,
Djinang,,,175,Djinang,dji,Definitely endangered,2,,,100,-12.3507,135.1098
Durubul,Fishing,Endogamous,177,Dungidjau,,Extinct,5,,,0,-26.5885,152.2705
Duungidjawu,,Endogamous,,,,Extinct,5,,,0,-25.4,152.345
Dyirbal,Gathering,Endogamous,178,Dyirbal,dbl,Critically endangered,4,"Djirubal.  Dialects: Dyiru, Girramay (Keramai), Gulnguy (Gulngay), Mamu, Ngadjan (Ngatjan)",,5,-18.0205,145.4809
Eucla,,,,,,,,,,,,
FlindersIsland,,Endogamous,,,,Critically endangered,4,,,3,-14.17,144.246
Gamilaraay,,,,,,,,,,,,
Ganggalida,,,181,Ganggalidda,gcd,Critically endangered,4,"Ganggalida, Kangkalita, Ganggalita, Jugula, Jakula, Yukala, Yukulta, Yugulda, Yokula.  Dialects: Kangkalita, Nguburindi",,2,-17.1001,138.3618
Gangulu,,,,,,,,,,,,
Garlali,,,,,,,,,,,,
Githabul,,,,,,,,,,,,
Golpa,,,,,,,,,,,,
GoorengGooreng,,,,,,,,,,,,
