Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Achang							Achang    	1	1	0																	
Aka	Definitely endangered	2	4000	27.1666	92.6312	Agamous	Aka       	1	1	1				1690	Aka		India	IND	soh	Critically endangered	Jebel Sillok		300	"Bender, Ethnologue"	11.0112	34.2333	
Alike_T				34.52	100.48	Agamous																					
Ang_Kohima	Vulnerable	1	132000	25.7553	94.1308	Endogamy	Ang__Khonoma	1	0	0				1140	Angami		India	IND	njm	Vulnerable			132000		25.7553	94.1308	between Dimapur (Assam) and Kohima (Nagaland)
Ang__Khonoma						Endogamy	Ang_Kohima	1	0	0																	
Anong	Critically endangered	4	4040	27.1	98.7		Anong								Anong					Critically endangered			4040		27.1	98.7	
Ao_Chungli	Vulnerable	1	65275	26.321	94.515	Endogamy	Ao_Chungli	1	0	0										Vulnerable			65275		26.321	94.515	
Ao_Mongsen	Vulnerable	1	243000	26.4361	94.6472	Endogamy	Ao_Mongsen	1	0	0				1130	Ao		India	IND	ngo	Vulnerable			243000		26.4361	94.6472	Wokho and parts of Mokokchung districts
Apatani	Vulnerable	1	35000	27.5228	93.8177		Apatani   	1	0	0				938	Apatani		India	IND	apt	Vulnerable	Apa Tani		35000		27.5228	93.8177	"Apatani valley, lower Subansiri D."
Batang_T	Vulnerable		1300	29.01	94.77	Agamous	Batang_T	1	0	0																	
Beijing	Safe	0	27000000	39.9	116.4		Beijing   	1	0	0										Safe			27000000				
Bodo	Vulnerable	1	900000	26.7554	92.8674		Bodo      	1	1	0				1229	Bodo		India	IND	brx	Vulnerable	"Boro, Kachari"		900000		26.7554	92.8674	"north bank of the Brahmaputra, Sonitpur and Darrang districts"
Bokar	Vulnerable	1	5000	28.8735	94.3807		Bokar     	1	1	0				983	Bokar		"China, India"	"CHN, IND"	adi	Vulnerable	Adi		5000		28.8735	94.3807	"scattered villages in West Siang Dt., west of Tuting."
Bola	Definitely endangered	2	1000	25.0638	98.2414		Bola							2441	Bola		China	CHN	bxd	Definitely endangered	"Pola, Bela"		1000	Bradley 2007	25.0638	98.2414	
Bugun	Definitely endangered	2	1000	27.2546	92.5323		Bugun     	1	0	0					Bugun		India			Definitely endangered			1000		27.2546	92.5323	
Burmese	Safe	0	33000000	20.39	93.97	Endogamy	Burmese   	0	0	0										Sae							
CHN	Safe	0	898000000	35.51	104.11		CHN       	1	0	0										Safe			898000000		39.9	116.4	
Chang	Vulnerable	1	62000	26.2934	94.9493		Chang     	1	1	0				1131	Chang		India	IND	nbc	Vulnerable			62000		26.2934	94.9493	Tuensang Dt.
Chepang	Vulnerable	1	36807	27.7552	84.8144		Chepang   	1	0	0				1082	Chepang		Nepal	NPL	"cdm, byh"	Vulnerable	____‚š__Ž_____é; Bhujeli (dialect); Bujhyal		36807	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.7552	84.8144	"Makv—npur, Citvan and Dh—diö_€ districts."
Chokri	Vulnerable	1	84000	25.8691	94.7131		Chokri    	1	1	0				1141	Chokri		India	IND	nri	Vulnerable			84000		25.8691	94.7131	Phek Dt.
Cuona_M	Vulnerable	1	50000	26.8279	95.3623		Cuona_M   	0	0	1					Cuona Menba					Vulnerable			50000		26.8279	95.3623	
Daofu_Horpa	Vulnerable	1	45000	31.091339	101.748892		Daofu_Horpa	1	0	0					Horpa					Vulnerable			45000		31.091339	101.748892	
Dhimal	Severely endangered	3	20000	26.6192	87.4635		Dhimal							436	Dhimal		Nepal	NPL	dhi	Severely endangered	_______å______		20000	"King, John T. 2008. A Grammar of Dhimal. Ph.D. Dissertation. Leiden University.
Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge."	26.6192	87.4635	Jh—p— and Moraö_€ districts.
Dimasa	Vulnerable	1	112000	24.7368	92.9003		Dimasa    	1	1	0				1167	Dimasa		India	IND	dis	Vulnerable			112000		24.7368	92.9003	Karbi Anglong and North Cachar Hills districts
Dulong	Vulnerable	1	7000	28	98.33		Dulong    	1	0	1					Drung		China			Vulnerable			7000		28	98.33	
Dumi	Critically endangered	4	8	27.3095	86.7521		Dumi							437	Dumi		Nepal	NPL	dus	Critically endangered	____‚__å__; ____‚__å_‚Ñ		8	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge."	27.3095	86.7521	Khoö__—ö_€ district.
Ergong							Ergong    	1	0	0																	
Ersu	Definitely endangered	2	15000	28.7778	102.1277		Ersu      	0	0	0				2432	Ersu		China	CHN	ers	Definitely endangered	"Lizu, Tosu"		15000	Bradley 2007	28.7778	102.1277	
Fuzhou	Safe	0	10000000	26.0745	119.2965		Fuzhou    	1	0	0					Fuzhou					Safe			10000000		26.0745	119.2965	
Gallong	Vulnerable	1	35000	28.1688	94.7433		Gallong   	1	1	0				988	Galo		India	IND	adl	Vulnerable	"Gallong, Adi Galo"		35000	Post 2007	28.1688	94.7433	southern parts of West Siang Dt.
Gangte	Definitely endangered	2	15000	24.1968	93.587		Gangte    	1	0	0				1180	Gangte		India	IND	gnb	Definitely endangered			15000		24.1968	93.587	"Manipur, mostly in southern Churachandpur Dt."
Garo	Vulnerable	1	700000	25.667	90.5	Agamous	Garo      	0	1	0					Garo		India			Vulnerable			700000		25.667	90.5	
Gazhuo	Definitely endangered	2	4000	24.0959	102.5463		Gazhuo							523	Gazhuo		China	CHN	kaf	Definitely endangered			4000	Bradley 2008	24.0959	102.5463	
Geba	Safe	0	40000	19.5	96.95		Geba								Geba Karen					Safe			40000		19.5	96.95	
Geker							Geker																				
Guiqiong	Vulnerable	1	7000	30.8148	101.7021		Guiqiong  	0	0	1				2433	Guichong		China	CHN	gqi	Vulnerable			7000	Bradley 2007	30.8148	101.7021	
